id_anggota,nama,alamat,no_hp
1,Andi Saputra,Jl. Mawar No. 10,081234567890
2,Budi Santoso,Jl. Melati No. 21,082145678901
3,Citra Dewi,Jl. Kenanga No. 5,083156789012
4,Dewi Lestari,Jl. Flamboyan No. 8,081278945612
5,Eka Putra,Jl. Dahlia No. 13,081345671239
6,Fajar Pratama,Jl. Anggrek No. 7,081234562378
7,Gina Aprilia,Jl. Cempaka No. 9,081789045612
8,Hadi Wijaya,Jl. Nusa Indah No. 11,082145671238
9,Indah Permata,Jl. Teratai No. 3,083123456789
10,Joko Rahmat,Jl. Seroja No. 4,082167894512
11,Kiki Amelia,Jl. Cemara No. 2,081398761234
12,Lina Kartika,Jl. Sakura No. 12,081245671238
13,Maya Andini,Jl. Tulip No. 15,083278945612
14,Nina Utami,Jl. Mawar No. 1,082167890123
15,Oka Hidayat,Jl. Melur No. 6,081234567812
